,model,num_cores,WER,sample_id,engine,run_id,time,text_len,audio_len
96,stt_en_citrinet_256,?,0.09090909090909091,1701-141760-0009,NeMo,2,0.1460298728197813,60,4.07
97,stt_en_citrinet_256,?,0.09090909090909091,1701-141760-0009,NeMo,3,0.12723653949797153,60,4.07
98,stt_en_citrinet_256,?,0.09090909090909091,1701-141760-0009,NeMo,4,0.16366842202842236,60,4.07
99,stt_en_citrinet_256,?,0.09090909090909091,1701-141760-0009,NeMo,5,0.12751934677362442,60,4.07
100,QuartzNet15x5Base-En,?,0.0,1701-141760-0010,NeMo,1,0.3343450278043747,79,5.69
101,QuartzNet15x5Base-En,?,0.0,1701-141760-0010,NeMo,2,0.2397168166935444,79,5.69
102,QuartzNet15x5Base-En,?,0.0,1701-141760-0010,NeMo,3,0.24130755104124546,79,5.69
103,QuartzNet15x5Base-En,?,0.0,1701-141760-0010,NeMo,4,0.22958503477275372,79,5.69
104,QuartzNet15x5Base-En,?,0.0,1701-141760-0010,NeMo,5,0.22763619013130665,79,5.69
105,stt_en_citrinet_256,?,0.0,1701-141760-0010,NeMo,1,0.14131385646760464,79,5.69
106,stt_en_citrinet_256,?,0.0,1701-141760-0010,NeMo,2,0.143167307600379,79,5.69
107,stt_en_citrinet_256,?,0.0,1701-141760-0010,NeMo,3,0.13202032446861267,79,5.69
108,stt_en_citrinet_256,?,0.0,1701-141760-0010,NeMo,4,0.13753323629498482,79,5.69
109,stt_en_citrinet_256,?,0.0,1701-141760-0010,NeMo,5,0.13033903948962688,79,5.69
110,QuartzNet15x5Base-En,?,0.0625,1701-141760-0011,NeMo,1,0.38266973942518234,95,6.14
111,QuartzNet15x5Base-En,?,0.0625,1701-141760-0011,NeMo,2,0.23373286612331867,95,6.14
112,QuartzNet15x5Base-En,?,0.0625,1701-141760-0011,NeMo,3,0.238528149202466,95,6.14
113,QuartzNet15x5Base-En,?,0.0625,1701-141760-0011,NeMo,4,0.24984333291649818,95,6.14
114,QuartzNet15x5Base-En,?,0.0625,1701-141760-0011,NeMo,5,0.24822564609348774,95,6.14
115,stt_en_citrinet_256,?,0.0625,1701-141760-0011,NeMo,1,0.1494295299053192,95,6.14
116,stt_en_citrinet_256,?,0.0625,1701-141760-0011,NeMo,2,0.14790202490985394,95,6.14
117,stt_en_citrinet_256,?,0.0625,1701-141760-0011,NeMo,3,0.14027455262839794,95,6.14
118,stt_en_citrinet_256,?,0.0625,1701-141760-0011,NeMo,4,0.14153210259974003,95,6.14
119,stt_en_citrinet_256,?,0.0625,1701-141760-0011,NeMo,5,0.13732514344155788,95,6.14
120,QuartzNet15x5Base-En,?,0.08695652173913043,1701-141760-0012,NeMo,1,0.5765702687203884,232,13.63
121,QuartzNet15x5Base-En,?,0.08695652173913043,1701-141760-0012,NeMo,2,0.43633338063955307,232,13.63
122,QuartzNet15x5Base-En,?,0.08695652173913043,1701-141760-0012,NeMo,3,0.4185815192759037,232,13.63
123,QuartzNet15x5Base-En,?,0.08695652173913043,1701-141760-0012,NeMo,4,0.5045143999159336,232,13.63
124,QuartzNet15x5Base-En,?,0.08695652173913043,1701-141760-0012,NeMo,5,0.6343893632292747,232,13.63
125,stt_en_citrinet_256,?,0.021739130434782608,1701-141760-0012,NeMo,1,0.22212360426783562,232,13.63
126,stt_en_citrinet_256,?,0.021739130434782608,1701-141760-0012,NeMo,2,0.21255084872245789,232,13.63
127,stt_en_citrinet_256,?,0.021739130434782608,1701-141760-0012,NeMo,3,0.20271682925522327,232,13.63
128,stt_en_citrinet_256,?,0.021739130434782608,1701-141760-0012,NeMo,4,0.2019369788467884,232,13.63
129,stt_en_citrinet_256,?,0.021739130434782608,1701-141760-0012,NeMo,5,0.2777346931397915,232,13.63
130,QuartzNet15x5Base-En,?,0.25,1701-141760-0013,NeMo,1,0.19985583424568176,36,2.365
131,QuartzNet15x5Base-En,?,0.25,1701-141760-0013,NeMo,2,0.19371039047837257,36,2.365
132,QuartzNet15x5Base-En,?,0.25,1701-141760-0013,NeMo,3,0.18091803044080734,36,2.365
133,QuartzNet15x5Base-En,?,0.25,1701-141760-0013,NeMo,4,0.14419671706855297,36,2.365
134,QuartzNet15x5Base-En,?,0.25,1701-141760-0013,NeMo,5,0.15843992866575718,36,2.365
135,stt_en_citrinet_256,?,0.25,1701-141760-0013,NeMo,1,0.11867111176252365,36,2.365
136,stt_en_citrinet_256,?,0.25,1701-141760-0013,NeMo,2,0.10919858328998089,36,2.365
137,stt_en_citrinet_256,?,0.25,1701-141760-0013,NeMo,3,0.10999861732125282,36,2.365
138,stt_en_citrinet_256,?,0.25,1701-141760-0013,NeMo,4,0.13490393571555614,36,2.365
139,stt_en_citrinet_256,?,0.25,1701-141760-0013,NeMo,5,0.11138052307069302,36,2.365
140,QuartzNet15x5Base-En,?,0.08333333333333333,1701-141760-0014,NeMo,1,0.276800487190485,131,7.805
141,QuartzNet15x5Base-En,?,0.08333333333333333,1701-141760-0014,NeMo,2,0.312283119186759,131,7.805
142,QuartzNet15x5Base-En,?,0.08333333333333333,1701-141760-0014,NeMo,3,0.3086835779249668,131,7.805
143,QuartzNet15x5Base-En,?,0.08333333333333333,1701-141760-0014,NeMo,4,0.3036753870546818,131,7.805
144,QuartzNet15x5Base-En,?,0.08333333333333333,1701-141760-0014,NeMo,5,0.2704984713345766,131,7.805
145,stt_en_citrinet_256,?,0.041666666666666664,1701-141760-0014,NeMo,1,0.1641999613493681,131,7.805
146,stt_en_citrinet_256,?,0.041666666666666664,1701-141760-0014,NeMo,2,0.1618749089539051,131,7.805
147,stt_en_citrinet_256,?,0.041666666666666664,1701-141760-0014,NeMo,3,0.1583077572286129,131,7.805
148,stt_en_citrinet_256,?,0.041666666666666664,1701-141760-0014,NeMo,4,0.17160226218402386,131,7.805
149,stt_en_citrinet_256,?,0.041666666666666664,1701-141760-0014,NeMo,5,0.15308352187275887,131,7.805
150,QuartzNet15x5Base-En,?,0.16666666666666666,1701-141760-0015,NeMo,1,0.1598650012165308,33,2.29
